file,status,symbols,score,single_candidates,three_candidates,time_ms
combined_001.jpg,OK,PURPLE-BLUE-RED,0.637035,3,1,34.400
combined_002.jpg,OK,PURPLE-BLUE-RED,0.686113,3,1,27.126
combined_003.jpg,OK,PURPLE-BLUE-RED,0.709118,3,1,25.261
combined_004.jpg,OK,PURPLE-BLUE-RED,0.678016,3,1,25.759
combined_005.jpg,OK,PURPLE-BLUE-RED,0.661045,3,1,32.613
combined_006.jpg,OK,PURPLE-BLUE-RED,0.682276,3,1,30.396
combined_007.jpg,OK,PURPLE-GREEN-BLUE,0.678849,3,1,27.802
combined_008.jpg,OK,PURPLE-GREEN-BLUE,0.636682,3,1,30.619
combined_009.jpg,OK,PURPLE-GREEN-BLUE,0.613895,3,1,30.700
combined_010.jpg,OK,PURPLE-GREEN-BLUE,0.636117,3,1,28.081
combined_011.jpg,OK,PURPLE-GREEN-BLUE,0.598308,3,1,27.977
combined_012.jpg,OK,PURPLE-GREEN-BLUE,0.613347,3,1,52.319
combined_013.jpg,OK,PURPLE-GREEN-BLUE,0.621938,3,1,26.890
combined_014.jpg,OK,BLUE-GREEN-PURPLE,0.654792,3,1,31.634
combined_015.jpg,OK,BLUE-GREEN-PURPLE,0.635629,3,1,34.607
combined_016.jpg,OK,BLUE-GREEN-PURPLE,0.639018,3,1,35.673
combined_017.jpg,OK,BLUE-PURPLE-RED,0.714281,3,1,30.166
combined_018.jpg,OK,BLUE-PURPLE-RED,0.695058,3,1,30.893
combined_019.jpg,OK,BLUE-PURPLE-RED,0.716745,3,1,25.155
combined_020.jpg,OK,BLUE-PURPLE-RED,0.614865,3,1,49.924
combined_021.jpg,OK,RED-PURPLE-BLUE,0.667531,3,1,24.183
combined_022.jpg,OK,RED-PURPLE-BLUE,0.641186,3,1,50.590
combined_023.jpg,OK,RED-PURPLE-BLUE,0.642709,3,1,57.652
combined_024.jpg,OK,RED-PURPLE-BLUE,0.704268,3,1,23.880
combined_025.jpg,OK,RED-PURPLE-BLUE,0.651901,3,1,24.112
combined_026.jpg,OK,RED-PURPLE-BLUE,0.636805,3,1,48.385
combined_027.jpg,OK,RED-PURPLE-BLUE,0.661942,3,1,25.816
combined_028.jpg,OK,RED-PURPLE-BLUE,0.667937,3,1,27.334
combined_029.jpg,OK,RED-PURPLE-BLUE,0.690430,3,1,30.779
combined_030.jpg,OK,BLUE-PURPLE-RED,0.694778,3,1,30.480
combined_031.jpg,OK,BLUE-PURPLE-RED,0.702760,3,1,29.292
